Fixed Point: 88f293f988f293f988f293f988f293f9 | Rounds: 48 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: fafafafafafafafafafafafafafafafa | Rounds: 4 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 2d4a2bfc2d4a2bfc2d4a2bfc2d4a2bfc | Rounds: 40 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 9dfe9dfe9dfe9dfe9dfe9dfe9dfe9dfe | Rounds: 36 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 00000000000000000000000000000000 | Rounds: 19 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 0c000c000c000c000c000c000c000c00 | Rounds: 50 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 02020202020202020202020202020202 | Rounds: 14 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 2f2615032f2615032f2615032f261503 | Rounds: 19 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 7c037c037c037c037c037c037c037c03 | Rounds: 36 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: c504c504c504c504c504c504c504c504 | Rounds: 29 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 5bab86085bab86085bab86085bab8608 | Rounds: 47 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a | Rounds: 34 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 88b46e0a88b46e0a88b46e0a88b46e0a | Rounds: 18 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: c40ac40ac40ac40ac40ac40ac40ac40a | Rounds: 7 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 000c000c000c000c000c000c000c000c | Rounds: 50 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
